2075, 3.88, 0.993, 3.446, , 0, , 345
3076, 3.9, 0.993, 3.446, , 5, , 327
4076, 3.91, 0.993, 3.755, , 12, , 311
5075, 3.91, 0.993, 3.755, , 20, , 315
6075, 3.92, 0.993, 3.763, , 27, , 319
7076, 3.92, 0.993, 3.763, , 34, , 311
8075, 3.93, 0.993, 3.769, , 41, , 303
9075, 3.93, 0.995, 3.774, , 49, , 302
10075, 3.93, 0.993, 3.774, , 56, , 312
11076, 3.94, 0.993, 3.778, , 63, , 308
12075, 3.94, 0.993, 3.783, , 71, , 304
13075, 3.94, 0.993, 3.783, , 78, , 312
14075, 3.94, 0.993, 3.787, , 85, , 331
15076, 3.95, 0.993, 3.787, , 92, , 303
16075, 3.95, 0.993, 3.791, , 100, , 333
17076, 3.95, 0.993, 3.794, , 107, , 300
18076, 3.95, 0.993, 3.794, , 114, , 307
19076, 3.95, 0.995, 3.797, , 122, , 304
20076, 3.96, 0.993, 3.8, , 129, , 332
21076, 3.96, 0.993, 3.8, , 136, , 302
22076, 3.96, 0.993, 3.803, , 143, , 328
23076, 3.96, 0.993, 3.803, , 151, , 303
24076, 3.96, 0.993, 3.806, , 158, , 309
25075, 3.96, 0.993, 3.808, , 165, , 302
26076, 3.96, 0.993, 3.808, , 172, , 302
27076, 3.96, 0.993, 3.811, , 180, , 301
28076, 3.96, 0.993, 3.813, , 187, , 304
29076, 3.96, 0.993, 3.813, , 194, , 297
30076, 3.96, 0.993, 3.815, , 202, , 595
31076, 3.97, 0.993, 3.815, , 209, , 297
32076, 3.96, 0.995, 3.817, , 216, , 301
33075, 3.97, 0.993, 3.819, , 223, , 324
34076, 3.97, 0.993, 3.819, , 231, , 300
35075, 3.97, 0.993, 3.821, , 238, , 305
36075, 3.97, 0.993, 3.821, , 245, , 285
37075, 3.97, 0.993, 3.823, , 253, , 312
38075, 3.97, 0.993, 3.825, , 260, , 325
39076, 3.97, 0.993, 3.825, , 267, , 299
40075, 3.98, 0.993, 3.826, , 274, , 325
41076, 3.98, 0.993, 3.828, , 282, , 312
42076, 3.98, 0.993, 3.828, , 289, , 308
43076, 3.98, 0.993, 3.83, , 296, , 301
44076, 3.98, 0.993, 3.83, , 303, , 318
45075, 3.98, 0.993, 3.831, , 311, , 301
46075, 3.98, 0.993, 3.833, , 318, , 322
47076, 3.98, 0.993, 3.833, , 325, , 600
48075, 3.98, 0.993, 3.834, , 333, , 299
49075, 3.99, 0.993, 3.836, , 340, , 317
50076, 3.99, 0.993, 3.836, , 347, , 322
51075, 3.99, 0.993, 3.837, , 354, , 311
52076, 3.99, 0.993, 3.837, , 362, , 330
53076, 3.99, 0.995, 3.838, , 369, , 299
54076, 3.99, 0.995, 3.84, , 376, , 302
55075, 3.99, 0.993, 3.84, , 383, , 577
56075, 3.99, 0.993, 3.841, , 391, , 299
57076, 3.99, 0.993, 3.842, , 398, , 302
58075, 3.99, 0.993, 3.842, , 405, , 577
59076, 4.2, 0.993, 3.843, , 413, , 297
60075, 4.2, 0.993, 3.843, , 420, , 307
61075, 4.2, 0.993, 3.844, , 427, , 300
62075, 4.2, 0.993, 3.845, , 434, , 302
63076, 4.2, 0.993, 3.845, , 442, , 299
64075, 4.2, 0.995, 3.846, , 449, , 323
65075, 4.2, 0.993, 3.846, , 456, , 316
66076, 4.2, 0.993, 3.848, , 463, , 330
67076, 4.2, 0.993, 3.849, , 471, , 299
68075, 4.2, 0.993, 3.849, , 478, , 300
69075, 4.2, 0.993, 3.85, , 485, , 293
70076, 4.2, 0.995, 3.851, , 493, , 585
71076, 4.2, 0.993, 3.851, , 500, , 311
72076, 4.2, 0.993, 3.852, , 507, , 585
73076, 4.2, 0.993, 3.852, , 514, , 297
74076, 4.2, 0.993, 3.853, , 522, , 297
75075, 4.2, 0.993, 3.854, , 529, , 298
76076, 4.2, 0.993, 3.854, , 536, , 317
77075, 4.2, 0.993, 3.855, , 543, , 301
